text,label
"–Se perdió el candelabro de plata de la capilla, y él es forastero en el pueblo.",1
"""Mi hijo, cuando salió de clase el primer día, me dijo: 'Mamá, tendrías que haberme traído aquí desde el principio.",0
George Steiner se ha preguntado una y otra vez cómo fue posible que los comandantes de los campos de concentración nazis recitaran a Rilke y liego fureran a las cámaras de gas.,1
"Además, en la actualidad el origen social no resulta tan determinante para, como dicen los anglosajones.",0
"• Si tiene insuficiencia cardiaca grave, insuficiencia renal moderada a grave o insuficiencia hepática grave.",0
"La obra se inauguró en 1993 y sorprendió con entrepisos suspendidos en el aire, rampas y escaleras.",1
"Ganas libertad, pero pierdes otras cosas.",0
"Primero se fue a hacer el grado con una beca en el colegio del Mundo Unido de Hong Kong, lo cual (61) ya es de lo más exótico (奇异的).",1
"Ese fondo se establecerá con el dinero que aportarán los gobiernos iberoamericanos con mayor desarrollo (unos 940 millones de euros); empresas y fundaciones, y agencias europeas de cooperación, organismos internacionales, cooperación americana y donaciones diversas.",1
"Para ello, en primer lugar, se expone qué piensan los españoles -y los agentes sociales- del fenómeno migratorio y cómo han ido evolucionando sus percepciones: En segundo lugar, cuál ha sido la contribución de los medios de comunicación a este respecto, analizando diversos periódicos, de ámbito provincial y nacional, en dos períodos cronológicos diferenciados; tercero, qué han aportado a esta imagen los partidos políticos, desde sus discursos, los programas electorales publicados y las tres leyes de extranjería aprobadas, desde la llegada de la democracia en 1977.",1
"Todo comunica: envase, diseño, posicionamiento, precio, distribución, red de ventas....",1
"Además de armas y soldados, el pueblo inglés hizo una apuesta política tan generosa como desconocida.",0
"En efecto, cada una de las personas residentes en el Reino Unido que tienen entre 65 y 70 años recibirán del Estado a lo largo de su vida 198.930 libras más de las pagadas en impuestos y tasas.",1
La vida es tiempo.,1
"El machismo es una lacra social que viene de la época de las cavernas y los hombres tenemos que ser partícipes del cambio porque si no, el cambio es imposible.",1
"El empresario puede ser una persona física, es decir.",0
La necesidad de reflexionar es ya una obligación.,0
"Comprende 16 lenguas habladas en el sur de Estados Unidos, México y América Central.",0
El objetivo fundamental es hacer que el dinero trabaje para uno.,0
"La mujer de Pere León pade cía insomnio y se encontraba mal (dolores en las arti-culaciones, dolores de cabeza, cansancio...).",1
"En ese sentido, su trayectoria contrasta con la de Gabriel Garcia Márquez, el otro gra novelista latinoamericano en cuya obra no es dificil advertir una marcada veneración por el hombre fuerte a partir de la cual se comprende su prolongado servicio a la Revolución cubana y a su amigo, el redentor inmortal.",1
"El sistema económico basado en la caza y la horticultura de las agrupaciones del siglo XVI, dio paso a una economía agrícola y ganadera en los siglos XVIII y XIX, convirtiéndose en un pueblo campesino luego del traslado forzoso a terrenos asignados por los gobiernos de Chile y Argentina.",1
"Primero, es un país que de ancho mide entre los 90 y los 440 kilómetros, pero que de norte a sur abarca alrededor de 4.300 kilómetros, divididos políticamente en 15 regiones.",1
En Edimburgo es dependienta.,1
"A este fin, el deportista habrá de notificar a la dirección técnica con la debida antelación las pruebas de carácter nacional y concentraciones en las que vaya a participar.",1
- Las muestras contarán con un vernissage el día de la inaugu-ración.,1
"La Ajac surgió como punto de encuentro local para los jóvenes arquitectos de Cataluña para promover el trabajo que estos hacen, facilitándoles herramientas para su inicio en la profesión.",1
"No ahora, cuando ya tenía toda su vida montada en España.",0
"sLa delegada de Medio Ambiente ha contestado al Grupo de la oposición que está en su derecho de recurrir la ordenanza, pero que «tiene todos los informes necesarios» y «está basada en dos leves, la ley del Ruido y la lev de Bases de Régimen Local, que otorga al Ayuntamiento la potestad sancionadora de hasta 3000 euros».",1
"Por eso, la clave pasa por la naturalidad.",1
También existen estudios que relacionan el ruido con la pérdida auditiva y los trastornos en el desarrollo fetal y de los recién nacidos.,1
¡y es tan guapo!,0
-¿El público no pinta nada?,0
"La autora parte de la constatación de que no solo ninguno de sus colegas tiene tiempo para nada, sino de que ha habido un cambio social en la percepción del ocio y del trabajo.",1
"la ordenanza sancionará por primera vez, con multas de entre 300 y 600 euros, a quienes causen molestias por ruido al practicar «botellón» en horario nocturno -de 23 a 7 horas, también en lugares de titular-dad privada y uso público.",1
Fundada por los fenicios en el 1100 a. C. Cádiz es la ciudad más antigua de Occidente.,0
"«Toma», le dijo él.",0
"La Costa de la Luz, repartida entre las provincias de Huelva y Cádiz, ofrece, además, multitud de destinos de cultura y ocio.",1
Él calificó la iniciativa de tontería y apenas la escuchó.,0
"Un buen hombre ya no es aquel capaz de proveer, el pilar, el cabeza de familia, la decisión última... Un buen hombre es aquel capaz de acompañar a su pareja no de una manera preestablecida, sino de la manera que decidan entre los dos.",1
"A principios del siglo xxi, la situación social experimentó una fuerte transformación, y con ella, la percep ción sobre la juventud se modificó sustancialmente.",1
"La Habana, cuya fundación data de 1514, se llamó inicialmente San Cristóbal de la Habana, nombre dado por los conquistadores españoles.",0
"Ese momento es alrededor de las 04:00 de la madrugada, cuando las prensas se ponen en marcha como una enorme locomotora a vapor, imposible de parar.",1
"Sin embargo, tras más de seis meses de infructuosa búsqueda, el caso fue archivado.",1
"En definitiva, se habrá aumentado la transparencia.",0
"Uno de ellos decía ""muero por error"" o ""por amor"".",0
"Hay muy poca gente con convicciones sólidas (fundamentales o, al menos, críticamente razonadas).",0
"Conviene realizar pausas para cambiar de postura y realizar estiramientos o, al menos, levantarse y caminar unos minutos.",0
"De hecho, nuestra relación se ha vuelto más sólida"".",0
"La medida podría parecer efectiva, pero si miramos con ojos realistas veremos que ninguna de las modelos ha engordado ni necesita más talla que antes.",0
"A la sombra de lecturas de Heródoto, de Cieza y del Inca Garcilaso , el Maestro nos termino de cincelar.",1
"Por su parte, podrá interrumpir el uso del software en cualquier momento que lo desee.",1
"Realizaremos encuestas en internet y si un programa no cuenta con el suficiente apoyo, saltará de la parrilla.",1
"Contratar los productos bancarios por Internet hace que el cliente conozca perfectamente las condiciones de los mismos, ya que los bancos tienen obligación de publicarlos en la web.",1
Una de las dificultades que encontraban estas mujeres (migrantes o no) era que el contacto para su contratación se solía realizar a través de familiares y amigas.,1
"Está en vos, en nosotros, en cada autor, seguir firmando contratos absurdos con viejos dementes, o empezar a escribir una historia nueva y que la pueda leer todo el mundo.",1
"A lo largo del siglo XX, el bolero lanzó a la fama a artistas como Los Panchos, María Dolores Pradera o Armando Manza-nero, y ha atraído a numerosos músicos de otros ámbitos.",1
"Para entender por qué ese muro imaginario será inservible, es mejor contar la historia de Emerita, una inmigrante guatemalteca.",0
"Así, en ciudades en las que la instalación de una línea fija estaba (por su elevado precio) fuera del alcance de muchísimas personas y en las que solo se conseguía tener un telé.",1
Muchas veces me sentía incomprendido por ambas partes.,0
Por eso es demagogia pura que digan que este arte tiene intenciones sociales y que manifiesta intenciones morales.,0
"La más persistente consistía en creer que la nación es un país que se había caído de Europa, sin vínculos reales con América Latina.",0
"El problema viene cuando una chica no cumple los cánones estéticos que esas tiendas consideran nor-males, y no puede comprarse nada.",0
La muerte al revés ofrece un peor espectáculo: cada intención de Michael Jackson por ganarle la carrera a la muerte se vuelve en favor de la descomposición: la cara de ese señor aprobaría el casting para una nueva fórmula de lo que nos espera con los gusanos.,1
"Dicho de otro modo: no es responsabilidad de los lectores que no pagan que Lucía sea pobre, sino del modo en que sus editores reparten las ganancias de los lectores que si pagan.",1
"Si prefieres correr, alójate cerca de un parque para tener todas las facilidades: te dará menos pereza hacer deporte.",0
"Cuando volvimos a España, hicimos una reclamación a la agencia, pero no quisieron asumir ninguna responsabilidad.",0
"Además, el desconocimiento de esta forma de comunicación puede dar lugar a malentendidos entre personas de diferente cultura: mientras que para un español el encuentro comunicativo puede ser más eficaz con el uso de estos signos, para otras personas la utilización de alteradaptadores puede interpretarse como una forma de invasión de la intimidad.",1
Fabricábamos hoces y rejas de arado en las herrerías del Incio.,1
Kiyosaki es extremadamente cuidadoso al seleccionar a la gente con la que quiere hacer negocios.,0
"A pesar de todo, algunas organizaciones, al margen de las instituciones internacionales o nacionales, están trabajando para solventar el problema del hambre y la marginación social.",1
"Esta situación es mucho más grave en el caso de las personas mayores, que son más vulnerables.",0
Abundan ejemplos semejantes.,0
"Así fue como comencé a dedicar parte de mi tiempo a escuchar las necesidades de mi equipo, tratando de facilitarles su trabajo sin dejar de exigirles.",1
"El niño no entendía muy bien pero escuchaba absorto, lanzando rápidas ojeadas a la mujer, a las que ella respondía con una sonrisa que a mí me parecía forzada.",0
"Además, nos gusta alardear de que estamos demasiado ocupados como para dedicarnos a ello.",0
"«Sé inglés, pero me da vergüenza hablarlo».",0
"Se recomienda que, en caso de un ingreso previsto, se notifique este a la compañía aseguradora al menos cinco días antes de la hospitalización.",1
"En el ámbito empresarial, este sistema implica un cambio de men talidad en la dirección de formación de la empresa, así como un profundo dominio de los empleados en nuevas tecnologías.",1
"Hay, por supuesto, algo de paranoia nacionalista en estos temores que ven en simples reclamos de autonomía grupal, intentos de secesión: en la afirmación de la identidad indígena, la negación de la chilenidad; en los reclamos de reparación por las usurpaciones del siglo XIX, atentados contra la institución de la propiedad.",1
Mimi Leder dirige un drama sensible con tres espléndidos actores que dan lo mejor de sí.,0
Pero realmente nada parece más inofensivo que la aleta de un tiburón.,0
"Sin llegar a casos extremos, lo cierto es que el exceso de estímulos informativos genera estrés y aturdimiento, sobre todo aquellos más velo-ces, como los flashes informativos televisivos.",1
La cultura se halla en cons.,1
La otra parte a la que alude es la vertiente profesional.,0
"Todo conectaba, todo tenía sentido.",0
"Gracias a las clases prácticas de este curso adquirí la confianza necesaria no solo para ponerme al frente de una clase y controlarla, sino también para organizar y elaborar mi propio plan de clase.",1
Es superpráctico.,0
Entonces sabrás en qué aspectos tienes que concentrarte en la próxima clase.,0
Al cuento lo llaman LA APORTACIÓN.,1
Por decirlo claro: la ciudad perjudica seriamente nuestra salud.,0
Exiliarse significa saltar hacia fuera.,0
Quienes se sientan frente al ordenador deben procurar que la pantalla esté a la altura de la línea de los ojos para no inclinar el cuello y no tensar los músculos de la espalda.,1
A los mismos actores les costaría (78) mucho tiempo comprender los condicionantes del sistema.,0
"Cuando hoy más de la mitad del comercio mundial tiene lugar en el Asia Pacífico, el 40% de dicho comercio pasa por Singapur.",1
Cuando la vi pasar orillando la borda.,0
"Si cada uno asume su responsabilidad, daremos un paso histórico.",0
La importancia que la actividad cinegética tenía en aque-las sociedades queda patente en esa abundancia en la representación de estos animales salvajes.,1
Tampoco es extraño desayunar o almorzar en un bar que tenga puesta la emisora favorita del propietario.,1
Los alumnos mayores también pueden ayudar a aprender a los más pequeños.,0
"Sin embargo, cada una de las personas que se sitúa entre 25 y 30 deberá contribuir con 157.700 más de las que va a recibir, y si tiene entre 30 y 35 su contribución neta es estimada en 124.486 libras.",1
"En general, disfruté mucho haciendo el curso, sobre todo porque creo que la idea de enseñar español de una manera inductiva, fuera de la habitual, es la mejor para aprender un idioma.",1
"El objetivo primordial era conectar con Dios, elemento base para la aparición del teatro en todas las civilizaciones.",1
Ojalá el éxito de esta nueva odisea cinematográfica en el espacio inspire una nueva era de exploración que sea capaz de unificar a la Humanidad por encima de todas nuestras viejas fronteras más o menos provincianas.,1
"No me parecía lógico que la letra ""m"" se llamara eme, y sin embargo con la vocal siguiente no se dijera ""emea"" sino ma.",0
"Tampoco aumentará el bienestar de los que vivan en las grandes ciudades; el desorden imperante irá en aumento, la inseguridad se irá extendiendo y las comunicaciones serán cada vez más difíciles por el encarecimiento del transporte.",1
Tenía una habitación para mí.,0
"Justo cuando se estrenó la película, la NASA anunció el hallazgo de agua líquida en el subsuelo del planeta rojo.",1
"Algo de eso hay, sin duda.",1
"Pero negar que, como todos los escritores, lo hacemos también por vanidad, para ser admirados y llegar a muchos lectores es caer en el autoengaño.",0
"Por eso fue denominada la región Castilla y su lengua, castellano.",0
"Un país de 3 millones de habitantes, con geografía mínima, puso tanta eficiencia en el puerto, en el acceso que, por lógica, pasó a ser un gran centro financiero.",1
"El objetivo no es vender las piezas, sino apoyar la economía familiar.",0
Esta autonomía de la voz revela que la obra vive por su cuenta.,1
"La sacralizacion de la Historia en la persona de un heroe produce la figura política de los ""redentores"".",1
Desde el interior de una careta el asalto toma una perspectiva muy distinta.,1
Es normal que haya cierta sensación de desasosiego entre los hombres porque todo aquello en lo que hemos sido socializados desde niños se tambalea.,1
"Para Kiyosaki todo es cuestión de educación, pero no de brillantes expedientes académicos.",1
No eran lágrimas.,0
"Vladimir Putin ha dicho que le parece ""correcta y valiente"" y para demostrar su júbilo el presidente Medvedev ha anunciado que abandona a su vez el proyecto ruso de instalación de misiles en Kaliningrado que apuntarían hipotéticamente a Europa.",1
"Los blogs, podcast, portales de imágenes y vídeos y otras herramientas de la web 2.0 son una importante fuente de información que permite conocer las ideas y proyectos y transmitirlas al resto del mundo, ya que constituyen una esfera global de pensamiento, crítica y debate arquitectónicos, tanto interna como externamente, para nuestro colectivo profesional.",1
"Es útil saber, para usar sin contratiempos los equipos electrónicos que pudiera traer, que la corriente eléctrica de uso doméstico en Chile es de 220 V.",1
La mayoría de las entidades financieras «premian» a sus clientes con un seguro de viajes extra (sin coste adicional) y otras ventajas por pagar con tarjeta de crédito.,1
¿Por qué hace eso?,0
"Según la Unesco, «la dieta mediterránea es un conjunto de competencias, conoci-mientos, prácticas y tradiciones relacionadas con la alimentación humana, que van desde la tierra a là mesa, abarcando los cultivos, las cosechas y la pesca, así como la conservación, transformación y preparación de los alimentos y, en particular, el consumo de estos».",1
"El visitante pronto descubre que La Habana presenta dos partes: una moderna y otra más antigua, la Habana Vieja, deslumbrante no solo por el ambiente que en ella se respira, sino por tratarse de uno de los conjuntos coloniales más importantes de Latinoamérica.",1
"tendrás más opciones entre las que elegir, y pagarás menos.",0
Allí el artista favorito de Borges vivió desde 1928 hasta que murió.,1
"Y como tenía jefes que esperaban resultados, yo trasladaba diariamente esa presión a los profesionales que tenía a mi cargo.",0
"El reto es enorme, pero merece la pena intentario.",0
"En las dos primeras semanas poste riores al hundimiento del Prestige, el Gobierno central y la Xunta negaron que las Rías Bajas, la mayor reserva marisquera del pla-neta, estuviese en peligro.",1
"Aprenderse una rima, una frase, unas iniciales, etc., puede ser un instrumento eficaz al que recurrir en caso de que tengamos dudas sobre cómo se construye una expresión o qué elementos la forman.",1
"Esto hace que estén permanentemente preocupadas (por sus parejas, sus hijos, sus padres, sus amigas) y angustiadas por las consecuencias que puede tener en sus relaciones el más insignificante de los cambios.",1
"Pero la base fundacional de las escuelas públicas que hay en España tiene que ver principalmente con crear el ambiente cultural que genere afición, interés y, de paso, un público que renueve los envejecidos auditorios es-pañoles.",1
Desactiva los servicios que no vayas a utilizar en el viaje y cambia las contraseñas cuando vuelvas.,0
Domina la técnica de la entrevista como pocos.,0
Los países mediterráneos y Japón estaban en el polo opuesto.,0
"Pero ¿puede comprar cualquier chica ropa en tiendas como Zara, Mango, Blanco, etc.?",0
Hace unos años empezó a dar formaciones a empresas sobre gestión del tiempo y ahora se dedica a eso a tiempo completo.,1
"Pocos días después, al retomar un relato que había dejado iniciado, comprobé con sorpresa que el hombre que llega en avión a una gran ciudad y coge un autocar para ir a su pueblo no era mi personaje sino Robert, el rubio del aeropuerto.",1
"En Tokio las mesas se empiezan a deslizar, los edificios se tambalean como flanes.",0
"En relación a las características posturales, el que padece esta patología inclina el cuello hacia delante y esto produce un cambio de posición de la cabeza y el cuello cuyo objetivo es adaptar la angulación de la faringe para facilitar la entrada de aire por la boca con la intención de aumentar el flujo aéreo superior.",1
"En esta situación estaban, mayoritariamente, aquellas que no contaban en la ciudad con una red de apoyo mediante la cual resolver costos de estancia y alimentación y que se insertaban por primera vez en el mundo laboral, ya que de esta forma podían ahorrar los gastos de hospedaje y alimentación.",1
"El terremoto, de 8,9 grados de magnitud, ha tenido el epicentro a 130 kilómetros de sus costas, en el océano Pacífico, a una profundidad de 26 kilómetros.",1
Así fortalecerás tus destrezas.,0
"Esta normativa, que sustituye a la vigente desde 2004 y adapta la legislación estatal en esta materia, prohibirá ex-as presamente también el desarrollo de eventos en la vía pública a una distancia inferior a 150 metros de los centros socio-sanitarios, como son centros de mayores, residencias, centros sanitarios y en centros docentes si el acto se desarrolla en horario escolar.",1
"La escuela Valle Libertad es un centro fundado en 2000 por un grupo de padres preocupados por proporionar la sus hijos un entorno educativo agradable y libre, siguiendo el modelo de las escuelas democráticas como Summerhill (Inglaterra) y Sudbury Valley School (Estados Unidos).",1
¿Firmará Lucía Etxebarría contratos así?,0
"En un tono informal, se le narran los sucesos más importan-; del pueblo, se le dan las gracias, se le piden favores y a veces incluso, incluye amenazas.",1
"Cuando el país empezó a derrumbarse, en 1995, unos treinta mil universitarios lo abandonaron cada año.",0
"Empiezo a las 10 h y tengo que hacer una pausa de 2 a 4:30 h. Vivo bastante lejos del trabajo así que normalmente me quedo por el centro de la ciudad, como y, a veces, voy a un gimnasio para aprovechar el tiempo.",1
¿Es posible enorgullecerse de un registro que ya es ajeno?,0
¿Qué podemos hacer para lograrlo?,0
Datos de la compañía aseguradora o entidad financiera cuando la academia tenga concertado un seguro o aval para garantizar las cantidades anticipadas.,1
"Bassat da mucha importancia a la construcción de la marca, pero siempre teniendo en cuenta en todo el proceso la creatividad (que el producto sea deseable, que tenga un posicionamiento relevante, que persuada.",1
"Yo, en realidad, lo que quiero es ser de Greenpeace, viajar por todo el mundo en sus barcos y salvar a las ballenas y a todos los animales que están en peligro de extinción.",1
"«Me parecen razonables esas peticiones porque siempre hablamos que la difusión de la cultura por Internet es el presente y el libro no debería ser muy distinto si es en papel o si es electrónico», dijo.",1
"Algunos son acogidos en casas de familias de clase media que están dispuestas a ser anfitrionas a cambio de una entrada económica para la casa, un contacto cultural interesante y un gasto menor para el estudiante extranjero que, además, accede a una situación que facilita su integrad Sn.",1
"Para ello, se parte de una reflexión profunda de la lengua y de la cultura pasando por la exploración de la competencia intercultural.",1
"20Nick había solicitado ya la publicación de ambas obras en papel, pero ha decidido en el último momento distri-buirias en formato digital.",1
Marta es genial.,0
No pierdas el tiempo sintiéndote menos que tus compañeros de clase porque ellos parecen avanzar más que tú.,0
"El objetivo de Aprender sin Fronteras"" es rescatar a los niños de la obligación de trabajar desde edades muy tempranas y ofrecer un sistema educativo alternativo al oficial.",1
"Las temperaturas suben, pero medio grado en dos siglos: (0,6°) es una miseria, lo que muestra el tipo de alarmismo al que nos enfrentamos.",1
La presencia de arquitectos y estudios de arquitectura en la red global es cada día más extensa.,1
"Para liberarte de estos efectos, incorpora a tu vida una disciplina de relajación.",1
"Precisa, sin embargo, que «no se permitirán en el medio ambiente exterior actuaciones que empleen elementos de percusión, amplificación o de reproducción sonora, salvo aquellas que puedan autorizarse en zonas especialmente adelimitadas, previa comprobación de que no produzcan perturbación de la convivencia vecinal.",1
Las hojas no se caen nunca.,0
"Estos tienden a despistarse por los bosques de enci-nas, eso sí, siempre bajo la atenta mirada de sus madres, pendientes de la romería, pues no en vano ellas también vivieron alguna vez «su romería» y saben del influjo mágico de la pradera y de sus consecuencias.",1
Lo que más me costó fue adaptarme a la nueva situación.,0
"CUARTO.- En relación al acuerdo sobre la autorización al propietario del tercer piso, puerta C, para llevar a cabo el cierre de la ventana que da al patio común, se acuerda denegar dicha solicitud por cuanto se entiende que afecta a los elementos exteriores del inmueble.",1
Ahora Europa pasa por tiempos difíciles.,0
James Clavell se atrevió a repetir con él en otra película en 1996.,1
"Sin embargo, no solo no se ha podido comprobar esta tesis, sino que se acaba de demostrar todo lo contrario.",0
«Bill Gates y Henry Ford dejaron la universidad.,0
"Para empezar, que 6 de cada 10 encuestados manifiesten su disposición a creer en algo cuando 7 de cada 10 le conceden poca o ninguna im-insportancia a la religión, no es que diga mucho, es que lo vocea: La razón se ha impuesto a la fe, pero no ha eclipsado el misterio.",1
Mi mujer puede dedicarle más tiempo y esfuerzo a su carrera.,1
"Está cubierto, sin embargo, cuando sea necesario como consecuencia de un accidente producido durante el periodo de vigencia del seguro.",1
"Además, el servicio era excelente.",0
Evidentemente se aconseja no realizar ninguna operación de banca electrónica en equipos públicos.,0
"No queremos esclavos, sino gente responsable y libre.",0
Ese sería el lugar idóneo para fundar un imperio.,0
"La Parte Dos muestra veinte estudios sobre un arquitecto determinado, un movimiento o un área.",0
"Pero ahí está el Singapur que soñó: un país inclusivo, socialmente cohesionado, con visión de futuro, determinado por sus potencialidades reales.",1
Esta red social permite publicar mensajes de un máximo de 140 caracteres y seguir las publicaciones de otras personas ha dado un giro de 180 grados al periodismo.,1
El egoísmo de mejor me guardo mi prosperidad para mí sólo ha triunfado en las urnas.,1
"Lo que más afecta a los humanos es el ozono, el dióxido de nitrógeno, las PM10 y las PM 2,5.",0
Ya era tarde.,0
"Consuelo Valero de Castro, autora de Magia, hechicería y supersticiones de la Historia, recuerda una encuesta realizada en nuestro país según la cual «el número de bodas en los días 13 era un 60% inferior al de los otros días del mes y si además ese día caía en martes, el porcentaje se elevaba al 85% ».",1
Este libro ofrece las claves que ayudarán a los padres a reorientar de manera positiva las conductas y actitudes conflictivas de sus hijos adolescentes.,1
Nos preocupa el clima principalmente y que podamos hacer cosas muy variadas.,0
"Enrique Subiela, músi-co, se refiere a la falta de una auténtica afición formada que acuda a las salas.",0
"La vía fundamental para lograr una educación estética es la educación artística a través de la cual forma actitudes específicas, desarrolla capacidades, conocimientos y hábitos necesarios para percibir y comprender el arte en sus más variadas manifestaciones y condiciones histórico-sociales, además de posibilitar la destreza necesaria para juzgar adecuadamente los valores estéticos de la obra artística.",1
"A los chicos adolescentes les interesan los deportes y los juegos de ordenador y sus ídolos son, en general, futbolistas y otros deportistas famosos.",1
"Los padres nos hemos convertido en responsables de cada minuto de ocio de nuestros hijos y nos hemos transformado en un gran parque temático, obligados a buscar actividades cada media hora.",1
"El titulo es una frase bonita que nos transmite connotaciones positivas, sin embargo, en su interior lo que encontramos es más parecido a un libro de ciencia, que en realidad es de lo que se trata, demostrar cientificamente cómo la felicidad se transmite a través de estímulos que producen descargas en nuestro cerebro y nos producen sensación de bienestar.",1
Era tan nutritivo que podía ser considerado como un alimento o una bebida.,0
"Al demostrar un sincero interés por la mejora y el aprendizaje de mis colaboradores, recibí una respuesta sorprendente, traducida en mayor productividad.",1
La salvación final de Watney sólo se logra gracias al apoyo del programa espacial chino.,1
"aparte de sus aventuras televi-sivas, Gabilondo es un gigante de la radio en España.",1
"Coordina grupos de trabajo, imparte conferencias y cursos de Análisis, Estética, Teoría e Historia de la Música, y colabora habitualmente en revistas especializadas.",1
"- Realizada la entrevista y seleccionadas las obras a exponer, se pautarán las fechas de entrega y retiro de las mismas.",1
