idx,question,answer,label
66,¿Cuáles son las mejores recomendaciones de lugares para visitar en España?,"Para un viaje por España, no te puedes perder Madrid, Barcelona y Sevilla.",Travel
67,¿Cuál es la forma más efectiva de comunicación en el trabajo?,"La comunicación clara y directa, siempre con el respeto por los puntos de vista de los demás.",Work
68,¿Qué horario tienes para la próxima semana?,Tengo una reunión con el jefe los lunes a las 10 am y luego voy al trabajo hasta las 6 pm.,Daily Life
69,¿Cuál es tu idioma electrónico preferido?,Estoy más a gusto en un smartphone Android. Me parece más funcional y fácil de usar.,Personal
70,¿Cómo pasas tus tardes después de la escuela?,Paso mis tardes viendo series de comedia o películas. Disfruto de las historias cómicas y entretenidas.,Hobbies
71,¿Qué hay de las estrategias para viajar con niños?,"Es importante planificar tu viaje con anticipación, llevar artículos de entretenimiento y juego para los niños, y considerar actividades que los niños disfruten. También, asegúrate de llevar las credenciales de identificación de los niños y tener un plan de contingencia en caso de emergencia.",Travel
72,¿Cómo te preparas para una reunión importante?,"Antes de cualquier reunión importante, preparo un resumen ejecutivo que incluya los objetivos, los puntos clave a discutir y las preguntas que quiero abordar.",Work
73,¿Cómo te mantienes organizado/a?,"Uso una agenda y los horarios para planificar mis días. También, intento mantener un lugar limpio y ordenado en casa.",Daily Life
74,¿Cómo te mantienes motivado(a) en tu vida?,Escribo mis metas y reviso mis progresos regularmente. También busco apoyo de mis amigos y familia.,Personal
75,¿Qué tipo de manualidades haces en tu tiempo libre?,Me gusta hacer manualidades como la pintura y el bordado. Es una actividad relajante y artística.,Hobbies
76,¿Qué medidas debes tomar para viajar de manera segura?,"Es importante tener vacunas actualizadas, seguir las instrucciones de viaje y mantenerse informado sobre la situación política y social del destino.",Travel
77,¿Qué opinas sobre el horario de trabajo flexible?,Estoy a favor de un horario de trabajo flexible siempre y cuando no afecte negativamente la productividad del equipo.,Work
78,¿Qué actividades disfrutas hacer en tu tiempo libre?,"Me gusta jugar videojuegos, practicar fútbol y pasar tiempo con mi familia.",Daily Life
79,¿Qué libro te recomendaría a alguien que disfruta de la ciencia ficción?,La obra 'Dune' de Frank Herbert es una excelente elección. Es una trama fascinante con un universo muy bien construido.,Personal
80,¿Qué hobbies tienes que sean relajantes?,Me gusta practicar yoga y meditación. Me ayuda a relajarme y a mantenerme enfocado.,Hobbies
81,¿Cómo viajar a un destino exótico?,"Deberías investigar sobre el destino, obtener las credenciales de viaje necesarias y hacer reservas para el viaje. También, lleva tu documentación necesaria y no expongas tus pertenencias en lugares públicos.",Travel
82,¿Cómo manejas el estrés en el trabajo?,"Practico ejercicios de relajación y meditación durante los descansos del trabajo. También, me comunico con mi supervisor si me siento abrumado.",Work
83,¿Cuál es tu rutina para cenar?,"Normalmente cocino algo simple en casa, como pasta o ensalada. También suelo comer cena fuera de casa en ocasiones especiales.",Daily Life
84,¿Qué te gusta hacer por diversión?,Me gusta jugar al ajedrez con mis amigos y practicar deportes.,Personal
85,¿Qué tipo de música te gusta escuchar en tu tiempo libre?,"Disfruto de todos los géneros musicales, pero especialmente de la música folk y la música indie.",Hobbies
86,¿Qué lugares recomiendas para visitar en América Latina?,"Para un viaje a América Latina, no te puedes perder Brasil, Perú y Argentina.",Travel
87,¿Qué tipo de progresos han tenido nuestro equipo este trimestre?,He visto un aumento significativo en la eficiencia y calidad del trabajo. Es muy satisfactorio.,Work
88,¿Cómo te mantienes en forma?,Hago ejercicio durante al menos 30 minutos al día y trato de comer alimentos saludables.,Daily Life
89,¿Cuál es tu serie de televisión o película favorita?,"Actualmente me encanta la serie 'Stranger Things'. Es una combinación perfecta de ciencia ficción, aventura y drama.",Personal
90,¿Qué actividades te gustaría intentar?,Me gustaría aprender a tocar la guitarra y practicar la composición musical.,Hobbies
91,¿Cómo preparar el equipaje para un viaje al campo?,"Deberías llevar ropa cómoda y adecuada para el clima, artículos de higiene personal, adaptadores de corriente y artículos esenciales como una linterna, un cuchillo y un paraguas. También, asegúrate de llevar tu documentación necesaria y tener un plan de emergencia.",Travel
92,¿Cómo se asignan las tareas en tu equipo?,Las tareas se asignan basadas en las fortalezas y áreas de mejora de cada miembro del equipo. Buscamos un equilibrio entre responsabilidades individuales y colaborativas.,Work
93,¿Qué actividades prefieres hacer en la naturaleza?,"Me gusta caminar por el parque local, montar bicicleta o ir a la playa.",Daily Life
94,¿Cuál es tu tema favorito de conversación?,Mi tema favorito es la literatura y la historia.,Personal
95,¿Qué tipo de deportes practicas en tu tiempo libre?,Me gusta jugar al fútbol con mis amigos. Es un buen ejercicio y una excelente forma de pasar tiempo juntos.,Hobbies
96,¿Cómo planificas tus viajes?,Me gusta hacer una investigación sobre el destino y luego buscar ofertas de vuelos y alojamiento para obtener los mejores precios.,Travel
97,¿Qué me dices de la cultura de trabajo en esta empresa?,La cultura de trabajo aquí es muy colaborativa y apoyativa. Creo que es un aspecto clave de nuestra éxito.,Work
98,¿Qué talás a tus amigos y familiares?,"Estoy muy contento con mis amigos, siempre disfrutamos de nuestras conversaciones.",Daily Life
99,¿Qué animal te gustaría tener como mascota y por qué?,Me encantaría tener un perro. Me gustaría tener un perro adorable y juguetón que siempre estuviera a mi lado.,Personal
