sentence1,sentence2,score,source
Los avances en la tecnología de almacenamiento de datos están permitiendo la creación de unidades de almacenamiento más pequeñas y con mayor capacidad.,La tecnología de almacenamiento de datos está permitiendo la fabricación de unidades de almacenamiento más pequeñas y con mayor capacidad.,1.0000,GPT
¿Cuáles son los principales efectos de la contaminación del agua en los ecosistemas?,¿Qué consecuencias trae consigo la contaminación del agua para los ecosistemas?,0.4000,GPT
La expresión regular de gratitud y la práctica de la bondad hacia los demás promueven la felicidad y el bienestar general.,El uso de la tecnología para conectar a las personas de todo el mundo ha aumentado la comprensión y la colaboración entre culturas.,0.1000,GPT
"¿Quién fue el autor de ""Matar a un ruiseñor""?","¿Qué temas trató el autor en su novela ""Matar a un ruiseñor""?",0.4000,GPT
¿Cómo se llama el desierto más grande del mundo?,¿Cuál es el nombre del desierto más grande del mundo?,1.0000,GPT
El kárate es un arte marcial de origen japonés que combina técnicas de golpeo y defensa personal.,"El kárate, un arte marcial de origen japonés, combina técnicas de golpeo y defensa personal.",0.8000,GPT
La espiritualidad nos desafía a trascender las limitaciones de nuestra identidad egoísta y a abrazar un sentido más amplio de conexión y unidad.,La espiritualidad nos invita a explorar más allá de nuestras limitaciones individuales y a descubrir una mayor sensación de conexión con el mundo.,0.7000,GPT
La literatura de no ficción aborda temas reales y ofrece información y conocimiento sobre diversos temas.,Los deportes de equipo son una excelente forma de fomentar el trabajo en equipo y la colaboración entre los miembros de una comunidad.,0.1000,GPT
"El teorema del límite central indica que, bajo ciertas condiciones, la distribución de la media de una muestra tiende a aproximarse a una distribución normal, sin importar la forma de la distribución original.","Bajo ciertas condiciones, el teorema del límite central sugiere que la media de una muestra se aproxima a una distribución normal.",0.7000,GPT
¿Quién es el gerente encargado de mi departamento?,¿Cuál es el nombre del gerente a cargo de mi departamento?,0.2000,GPT
"El cine de animación de estilo manga, originario de Japón, se caracteriza por sus trazos estilizados, personajes expresivos y narrativas emocionantes.","Los parques temáticos modernos ofrecen a los visitantes una amplia gama de experiencias interactivas, desde montañas rusas hasta juegos de realidad virtual.",0.1000,GPT
Los remakes de películas clásicas han sido una tendencia en la industria cinematográfica en los últimos años.,"En los últimos años, la industria cinematográfica ha estado experimentando con remakes de películas clásicas.",0.8000,GPT
El análisis de series de tiempo se utiliza para estudiar y predecir patrones y tendencias en datos que están ordenados en el tiempo.,Los modelos de series de tiempo se pueden utilizar para predecir el comportamiento futuro de los datos a partir de los patrones presentes.,0.3000,GPT
La educación en competencias interculturales promueve la comprensión y el respeto hacia diferentes culturas y tradiciones.,Promover la comprensión y el respeto hacia diferentes culturas y tradiciones es uno de los objetivos de la educación en competencias interculturales.,0.7000,GPT
La dieta sin gluten es necesaria para las personas con enfermedad celíaca o sensibilidad al gluten.,Los parques nacionales son una importante fuente de diversión y educación para los visitantes.,0.0000,GPT
¿Quién fue el líder de la banda de rock U2?,¿Qué contribuciones ha hecho el líder de U2 a la música rock?,0.2000,GPT
La realidad cinematográfica está revolucionando la industria del cine al permitir a los espectadores sumergirse en la narrativa de la película.,Los avances tecnológicos han mejorado la eficiencia de los procesos de fabricación en todos los sectores industriales.,0.0000,GPT
¿Cuándo se publicarán los resultados de la evaluación de desempeño?,¿Cuáles son los mejores lugares para ver aves migratorias en primavera?,0.1000,GPT
Las series de televisión por streaming han revolucionado la forma en que consumimos contenido audiovisual.,Los avances tecnológicos han mejorado la calidad de vida de las personas en todo el mundo.,0.0000,GPT
"Los programas de televisión infantiles son una fuente de entretenimiento y aprendizaje para los más pequeños, con personajes coloridos y mensajes educativos.","Los programas de televisión para niños ofrecen una combinación de diversión y educación, con personajes entrañables y contenido educativo para los más jóvenes.",0.2000,GPT
El judo es un arte marcial que se enfoca en técnicas de derribo y sumisión.,El judo es una disciplina que se basa en el equilibrio entre la fuerza y la resistencia.,0.5000,GPT
"¿Dónde se llevó a cabo la histórica Conferencia de Potsdam, donde se decidieron los términos para la rendición de Alemania en la Segunda Guerra Mundial?",Los líderes de los Aliados se reunieron en Potsdam para discutir los términos de la rendición de Alemania al final de la Segunda Guerra Mundial.,0.5000,GPT
¿Cuándo se celebró la primera Copa Mundial de Rugby?,¿En qué año se llevó a cabo la primera Copa Mundial de Rugby?,0.8000,GPT
"La incorporación de alimentos ricos en fibra, como verduras de hoja verde o legumbres, promueve una digestión saludable y previene el estreñimiento.","Incluir alimentos ricos en fibra en la dieta, como frutas, verduras y legumbres, puede ayudar a mejorar la salud digestiva y prevenir problemas intestinales.",0.4000,GPT
Los programas de entrevistas en la televisión proporcionan una plataforma para que los invitados compartan sus experiencias y opiniones.,Los invitados de los programas de entrevistas de televisión tienen la oportunidad de compartir sus experiencias y opiniones con el público.,0.8000,GPT
El funcionalismo filosófico sostiene que los estados mentales son definidos por su función o rol en el procesamiento de información.,La filosofía funcionalista argumenta que los estados mentales tienen un propósito específico en el procesamiento de datos.,0.4000,GPT
La oftalmología veterinaria se ocupa del diagnóstico y tratamiento de enfermedades oculares en animales.,La oftalmología veterinaria se especializa en la prevención de enfermedades oculares en animales a través de la detección temprana.,0.3000,GPT
"La psicoterapia existencial se centra en ayudar a las personas a encontrar un sentido y propósito en la vida, y afrontar la angustia y la incertidumbre existencial.",La psicoterapia existencial se enfoca en ayudar a las personas a desarrollar habilidades para abordar los desafíos de la vida y descubrir una mayor satisfacción personal.,0.3000,GPT
La deuda pública puede afectar la estabilidad económica de un país y su capacidad para financiar políticas públicas.,Los altos niveles de deuda pública pueden tener un impacto negativo en la economía de un país y limitar su capacidad para financiar proyectos gubernamentales.,0.6000,GPT
La práctica de la gratitud y el enfoque en las cosas positivas de la vida fomentan una actitud positiva y mejoran el bienestar general.,Practicar la gratitud y enfocarse en las cosas buenas de la vida promueve una actitud optimista y mejora el bienestar general.,1.0000,GPT
"La filosofía del multiculturalismo promueve el reconocimiento y la valoración de la diversidad cultural, desafiando las jerarquías y prejuicios.","El multiculturalismo fomenta el respeto y la apreciación de la diversidad cultural, cuestionando las estructuras de poder y los prejuicios.",1.0000,GPT
La espiritualidad nos invita a trascender los límites de la realidad material y a explorar dimensiones más sutiles y espirituales de la existencia.,Nos invita la espiritualidad a expandir nuestros horizontes más allá de la realidad física y a descubrir los niveles más sutiles y espirituales de la existencia.,0.8000,GPT
¿Quién es el máximo goleador en la historia de la Copa del Mundo de la FIFA?,¿Cuál es el récord de goles marcados en la Copa del Mundo de la FIFA?,0.5000,GPT
La tecnología de reconocimiento de iris se está implementando para mejorar la seguridad en sistemas de autenticación biométrica.,Los sistemas de autenticación biométrica están siendo mejorados con la implementación de la tecnología de reconocimiento de iris.,0.4000,GPT
"El diagrama de dispersión es una herramienta gráfica que muestra la relación entre dos variables, donde cada punto representa una observación.","Un diagrama de dispersión es una forma de visualizar la relación entre dos variables, donde cada punto representa una medición.",0.7000,GPT
"El consumo adecuado de líquidos, especialmente agua, es esencial para mantener una buena hidratación y apoyar las funciones corporales.","Es importante tomar medidas para mantener una buena hidratación, ya que esto puede ayudar a mejorar el rendimiento físico y mental.",0.3000,GPT
El trastorno de sueño de pesadillas recurrentes se caracteriza por la presencia repetitiva de sueños vívidos y aterradores que causan angustia y pueden interrumpir el sueño.,Los sueños recurrentes y aterradores que provocan ansiedad y perturban el descanso nocturno son una característica del trastorno de sueño de pesadillas.,0.9000,GPT
"La filosofía de la arquitectura investiga las ideas y los principios detrás del diseño y la construcción de espacios arquitectónicos, y su influencia en la vida humana.","La arquitectura es una disciplina que estudia cómo los principios y conceptos subyacentes afectan la forma en que los seres humanos interactúan con los espacios construidos, y cómo estos espacios afectan a la vida cotidiana.",0.4000,GPT
"La religión a menudo se transmite de generación en generación, formando parte de la identidad cultural de una comunidad.","Las creencias religiosas son una parte importante de la identidad cultural de muchas comunidades, y a menudo se transmiten de padres a hijos.",0.7000,GPT
¿Dónde se encuentra la oficina de recursos humanos de la empresa?,¿Qué tipo de beneficios ofrece la empresa a sus empleados?,0.3000,GPT
La educación en ciudadanía digital fomenta la responsabilidad y el comportamiento ético en el uso de la tecnología y las redes sociales.,La educación en ciudadanía digital promueve el desarrollo de una actitud responsable y ética hacia el uso de la tecnología y las redes sociales.,0.8000,GPT
¿Quiénes fueron los ganadores del premio Nobel de literatura en los últimos diez años?,¿Cuáles son los nombres de los ganadores del premio Nobel de literatura en los últimos diez años?,0.8000,GPT
¿Quiénes son los cineastas más reconocidos en la industria del cine de suspense?,¿Cuáles son las películas más reconocidas de los cineastas de la industria del cine de suspense?,0.7000,GPT
"La práctica regular de actividades físicas como el yoga, la natación o el ciclismo, ayuda a mejorar la flexibilidad y fortaleza muscular.","Haciendo ejercicio regularmente como el yoga, la natación o el ciclismo, se puede mejorar la flexibilidad y la fuerza muscular.",1.0000,GPT
"El patinaje sobre ruedas se practica en una pista y se pueden realizar diferentes disciplinas como velocidad, artístico o roller derby.","El patinaje sobre ruedas se practica en una pista y abarca disciplinas como velocidad, artístico y roller derby.",0.6000,GPT
"¿Quién escribió ""El código Da Vinci""?","¿Qué obra literaria fue escrita por ""El código Da Vinci""?",0.7000,GPT
Las películas de drama romántico nos sumergen en historias de amor apasionadas y conmovedoras.,Los dramas románticos nos transportan a relatos de amor apasionados y conmovedores.,1.0000,GPT
La literatura de viajes nos transporta a lugares lejanos y nos invita a descubrir otras culturas y paisajes.,Viajar a través de la literatura nos ofrece la oportunidad de explorar culturas y paisajes distantes.,0.8000,GPT
¿Quién fue el líder político y militar de la Revolución Cubana?,¿Qué países han ganado la Copa Mundial de Fútbol?,0.1000,GPT
"Las botas altas con estampado animal, como leopardo o cebra, son una elección audaz y atrevida para elevar cualquier outfit.","Los zapatos con estampado animal, como serpiente o tigre, son una excelente forma de darle un toque de alegría a cualquier look.",0.4000,GPT
"La terapia de pareja se centra en mejorar la comunicación y resolver los conflictos en las relaciones románticas, promoviendo la intimidad y la satisfacción mutua.","Los parques nacionales ofrecen una gran variedad de actividades para los visitantes, desde senderismo hasta observación de aves, para que disfruten de la belleza de la naturaleza.",0.1000,GPT
La religión a menudo promueve la práctica de la caridad y el servicio a los demás como una expresión de amor y compasión.,La práctica de la caridad y el servicio a los demás son frecuentemente promovidos por la religión como una forma de expresar amor y compasión.,0.8000,GPT
"Los trajes de pantalón y chaqueta en colores pastel, como el lavanda o el melocotón, son una opción suave y romántica para ocasiones formales.","Los trajes de chaqueta y pantalón en tonos pasteles, como el lavanda o el melón, son una elección romántica y suave para eventos formales.",0.6000,GPT
¿Por qué algunas obras de arte se consideran obras maestras?,¿Qué hace que algunas obras de arte sean tan admiradas y reconocidas como obras maestras?,0.2000,GPT
¿Dónde se encuentra el famoso monumento Taj Mahal?,¿Cuál es la ubicación del icónico Taj Mahal?,0.4000,GPT
¿Quién es el presidente actual de Francia?,Emmanuel Macron es el actual líder de Francia.,0.5000,GPT
"Los escritores a menudo experimentan con diferentes narradores, como la voz en segunda persona o un narrador omnisciente, para darle variedad a sus textos.","Los escritores a menudo juegan con diferentes perspectivas narrativas, como la voz en primera persona o un narrador limitado, para enriquecer sus trabajos.",0.7000,GPT
La música nos ayuda a explorar nuestra creatividad y a expresar nuestro ser interior de formas que las palabras solas no pueden capturar.,La música nos ofrece una vía para conectar con nuestros sentimientos más profundos y expresarlos de una manera única e irrepetible.,0.5000,GPT
"La biometría, como el reconocimiento de huellas dactilares y el escaneo facial, se utiliza para mejorar la seguridad en la identificación de personas.","La biometría, como el reconocimiento de la voz y el reconocimiento de la retina, se utiliza para aumentar la precisión en la verificación de identidades.",0.4000,GPT
La reducción del uso de plásticos de un solo uso y la promoción de alternativas biodegradables y reutilizables ayudan a combatir la contaminación por plástico.,Promover el uso de alternativas biodegradables y reutilizables en lugar de los plásticos de un solo uso contribuye a reducir la contaminación por plástico.,0.9000,GPT
La promoción de la energía solar y la instalación de paneles solares en hogares y edificios públicos contribuye a reducir la dependencia de los combustibles fósiles.,La adopción de la energía solar como fuente de energía alternativa ayuda a disminuir la dependencia de los combustibles fósiles.,0.6000,GPT
La probabilidad es una medida numérica que indica la posibilidad de que ocurra un evento.,Los alimentos orgánicos son una opción saludable para los consumidores preocupados por su bienestar.,0.1000,GPT
Las faldas plisadas de colores neón son una opción llamativa y enérgica para quienes buscan destacar.,Los pantalones acampanados de tonos neón son una elección audaz y vibrante para aquellos que desean llamar la atención.,0.4000,GPT
Cultivar relaciones sociales significativas y apoyivas fomenta el bienestar emocional y reduce el riesgo de aislamiento social.,La práctica regular de ejercicio físico contribuye a mejorar la salud mental y aumenta la energía y el ánimo.,0.1000,GPT
"El trastorno de estrés postaborto es una reacción emocional intensa que algunas personas pueden experimentar después de un aborto, y puede incluir síntomas como tristeza, culpa y ansiedad.","Las personas que han experimentado un aborto pueden sentir una variedad de emociones, como tristeza, culpa y ansiedad, que pueden ser parte del trastorno de estrés postaborto.",0.5000,GPT
El squash es un deporte de raqueta en el que los jugadores golpean una pelota contra una pared utilizando raquetas especialmente diseñadas.,Los jugadores de squash golpean una pelota con raquetas especialmente diseñadas contra una pared para jugar el deporte.,0.8000,GPT
"Los programas de televisión de ciencia ficción cibernética exploran la relación entre la humanidad y la tecnología avanzada, planteando preguntas sobre la identidad y la ética.","Los programas de televisión de ciencia ficción se centran en la interacción entre la humanidad y la tecnología, cuestionando los conceptos de identidad y moralidad.",0.7000,GPT
¿Quiénes son los ingenieros más destacados en el campo de la robótica?,¿Cuáles son los ingenieros más destacados en el área de la robótica?,0.8000,GPT
El trastorno de estrés postraumático (TEPT) puede desarrollarse después de una experiencia traumática y requiere tratamiento especializado.,Los síntomas del TEPT pueden aparecer tras una situación traumática y requieren atención médica.,0.6000,GPT
"¿Quién es conocido como el ""Rey del Rock and Roll""?",¿Quién es el ganador del premio Nobel de Literatura de 2019?,0.1000,GPT
"La teoría de juegos estudia el comportamiento estratégico de los agentes económicos en situaciones de interacción, analizando los resultados y las decisiones tomadas.",Los agentes económicos son estudiados por la teoría de juegos para comprender cómo toman decisiones estratégicas en situaciones de interacción.,0.7000,GPT
Los relojes de pulsera minimalistas son un accesorio atemporal que aporta sofisticación a cualquier look.,Los relojes de pulsera minimalistas son una pieza clásica que añade un toque de elegancia a cualquier estilo.,0.9000,GPT
El skateboarding es un deporte urbano que consiste en realizar acrobacias y trucos en una tabla con ruedas.,Los viajes en globo son una forma divertida de ver el mundo desde una perspectiva única.,0.1000,GPT
La protección de los corales y los ecosistemas marinos frágiles es esencial para preservar la diversidad biológica y garantizar la resiliencia de los océanos.,Es fundamental preservar la diversidad biológica y asegurar la resistencia de los océanos mediante la protección de los corales y los ecosistemas marinos frágiles.,0.8000,GPT
El género del indie rock se caracteriza por su enfoque independiente y su sonido alternativo y vanguardista.,"El indie rock se destaca por su estilo único, que combina elementos de la música independiente con una actitud vanguardista y un sonido innovador.",0.2000,GPT
¿Cuál es la diferencia entre la media aritmética y la mediana en estadística?,¿Cómo se comparan la media aritmética y la mediana en estadística?,0.8000,GPT
"La terapia centrada en soluciones se enfoca en identificar y ampliar los recursos y fortalezas de una persona, en lugar de centrarse en los problemas y las dificultades.","En lugar de centrarse en los problemas y las dificultades, la terapia centrada en soluciones se enfoca en descubrir y aprovechar los recursos y fortalezas de una persona.",1.0000,GPT
La promoción de la justicia ambiental implica abordar de manera equitativa los impactos negativos del desarrollo y garantizar que todas las comunidades tengan acceso a un entorno saludable y sostenible.,"Garantizar que todas las comunidades tengan acceso a un entorno saludable y sostenible, así como abordar de manera equitativa los impactos negativos del desarrollo, son parte de la promoción de la justicia ambiental.",1.0000,GPT
El sistema de gobierno de gerontocracia se basa en el poder político ejercido por personas de edad avanzada.,"Las personas mayores tienen una influencia significativa en la gerontocracia, un sistema de gobierno que otorga poder político.",0.6000,GPT
La conservación de los ecosistemas de tundra y la protección de los permafrost son importantes para mitigar el cambio climático y preservar la biodiversidad ártica.,Es esencial para reducir el impacto del cambio climático y preservar la diversidad biológica ártica el mantener los ecosistemas de tundra y proteger el permafrost.,0.4000,GPT
¿Quiénes son los arquitectos más famosos del movimiento moderno?,¿Cuáles son los nombres de los arquitectos más famosos del movimiento moderno?,1.0000,GPT
"La práctica regular de ejercicios de fuerza, como levantamiento de pesas, contribuye a fortalecer los músculos y los huesos.","Realizar ejercicios de fuerza con regularidad, como el levantamiento de pesas, ayuda a fortalecer los músculos y los huesos.",1.0000,GPT
"La educación en educación para el aprendizaje basado en proyectos desarrolla habilidades de investigación, colaboración y resolución de problemas a través de proyectos prácticos.",La educación para el aprendizaje basado en proyectos promueve la creatividad y la innovación al permitir a los estudiantes desarrollar sus propias soluciones a problemas reales.,0.3000,GPT
El análisis financiero ayuda a evaluar la salud financiera de una empresa.,El análisis financiero es una herramienta útil para determinar el estado de la situación financiera de una empresa.,0.4000,GPT
¿Cuándo y dónde se firmó el Tratado de Versalles que puso fin a la Primera Guerra Mundial?,¿Qué consecuencias tuvo el Tratado de Versalles para los países involucrados en la Primera Guerra Mundial?,0.3000,GPT
La ingeniería de tejidos está permitiendo la creación de órganos y tejidos artificiales para trasplantes y experimentación científica.,La ingeniería de tejidos está permitiendo la fabricación de órganos y tejidos artificiales para trasplantes y uso en la investigación científica.,1.0000,GPT
"El fútbol australiano es un deporte de equipo que combina elementos del fútbol y el rugby, y se juega con una pelota ovalada.","Los parques nacionales de los Estados Unidos ofrecen una variedad de paisajes naturales, desde montañas nevadas hasta desiertos áridos.",0.1000,GPT
La deforestación masiva está causando la pérdida de biodiversidad y alterando los ecosistemas.,La deforestación está teniendo un impacto significativo en la biodiversidad y los ecosistemas.,0.7000,GPT
"La terapia cognitivo-conductual basada en valores se enfoca en ayudar a las personas a identificar y vivir de acuerdo con sus valores personales, lo que puede mejorar el bienestar y la autenticidad.","La terapia cognitivo-conductual basada en valores se centra en ayudar a las personas a descubrir y actuar de acuerdo con sus principios fundamentales, lo que puede contribuir a una mayor satisfacción y autenticidad.",0.2000,GPT
La educación en habilidades de comunicación promueve una expresión clara y efectiva en diferentes contextos.,"Las habilidades de comunicación se mejoran con la educación, lo que ayuda a los individuos a expresarse de manera clara y eficaz.",0.7000,GPT
El escepticismo radical cuestiona la posibilidad de obtener cualquier tipo de conocimiento seguro o indudable.,La filosofía del escepticismo radical cuestiona la certeza de obtener cualquier tipo de conocimiento.,1.0000,GPT
"El trastorno de sueño de bruxismo del sueño es un trastorno en el cual la persona aprieta o rechina los dientes durante el sueño, lo que puede causar problemas dentales y mandibulares.","Durante el sueño, el bruxismo puede causar problemas dentales y mandibulares debido a la apretura o rechinamiento de los dientes.",0.6000,GPT
"La espiritualidad puede conducirnos a experimentar estados de paz interior, serenidad y armonía con el universo.","La espiritualidad nos puede guiar hacia la experiencia de una paz interna, calma y armonía con el cosmos.",0.9000,GPT
El patinaje de velocidad en línea se practica en una pista y los patinadores compiten por lograr la mayor velocidad en distancias determinadas.,Los patinadores de velocidad en línea se enfrentan en una pista para ver quién puede recorrer la distancia más rápido.,0.4000,GPT
"Mantener una buena higiene del sueño, como tener un ambiente oscuro y silencioso, mejora la calidad del descanso y la salud en general.",Mantener un ambiente tranquilo y oscuro para dormir mejora la calidad del descanso y la salud en general.,0.9000,GPT
"La promoción de la movilidad activa, como caminar o utilizar la bicicleta, no solo reduce las emisiones de gases contaminantes, sino que también mejora la salud y el bienestar de las personas.",Los videojuegos modernos ofrecen una gran variedad de contenido para entretener a los jugadores de todas las edades.,0.0000,GPT
El consumo excesivo de alimentos procesados y altos en sodio puede contribuir a la hipertensión y otros problemas de salud.,La práctica de ejercicios regulares puede ayudar a mejorar la resistencia física y la flexibilidad.,0.1000,GPT
"El arte del vitral utiliza vidrios de colores ensamblados para crear imágenes y escenas que se iluminan con la luz solar, adornando iglesias y edificios históricos.","La técnica del vitral consiste en ensamblar vidrios de colores para formar imágenes y escenas que se iluminan con la luz del sol, decorando iglesias y edificios históricos.",1.0000,GPT
"La política de inclusión social busca asegurar la participación plena y equitativa de todos los miembros de la sociedad, especialmente aquellos en situación de vulnerabilidad.","La política de inclusión social se enfoca en la creación de un entorno que promueva la igualdad de oportunidades para todos los miembros de la sociedad, sin importar su situación socioeconómica.",0.3000,GPT
