texto_machista,texto_inclusivo,nivel,subcategoria,pais,contexto,marcadores_linguisticos,explicacion
"Típico de mujer exagerar, mira",Veo que estás molesta,explicito,insultos_genero,México,pareja,"['típico' 'mujer' 'exagerar,' 'mira']",Utiliza insultos específicos contra mujeres
Callate mujer,Conversemos con calma,explicito,insultos_genero,México,pareja,['callate' 'mujer'],Utiliza insultos específicos contra mujeres
"No mames, loca todas son iguales órale",Conversemos con calma,explicito,insultos_genero,México,pareja,"['mames,' 'loca' 'todas' 'iguales']",Utiliza insultos específicos contra mujeres
"Güey, callate mujer neta",¿Podemos hablar?,explicito,insultos_genero,México,citas,"['güey,' 'callate' 'mujer' 'neta']",Utiliza insultos específicos contra mujeres
"Chale, típico de mujer exagerar",Respeto tu opinión,explicito,insultos_genero,México,citas,"['chale,' 'típico' 'mujer' 'exagerar']",Utiliza insultos específicos contra mujeres
"Feminazi histérica, mira",Respeto tu opinión,explicito,insultos_genero,México,laboral,"['feminazi' 'histérica,' 'mira']",Utiliza insultos específicos contra mujeres
"Chale, feminazi histérica, wey",Conversemos con calma,explicito,insultos_genero,México,calle,"['chale,' 'feminazi' 'histérica,']",Utiliza insultos específicos contra mujeres
Estás loca no mames,Entiendo tu punto,explicito,insultos_genero,México,laboral,['estás' 'loca' 'mames'],Utiliza insultos específicos contra mujeres
"Mira, eres una histérica neta",Veo que estás molesta,explicito,insultos_genero,México,educativo,"['mira,' 'eres' 'histérica' 'neta']",Utiliza insultos específicos contra mujeres
"Siempre exagerando todo, mira",Entiendo tu punto,explicito,insultos_genero,México,pareja,"['siempre' 'exagerando' 'todo,' 'mira']",Utiliza insultos específicos contra mujeres
Mujer no opines no mames,Entiendo tu punto,explicito,insultos_genero,México,laboral,['mujer' 'opines' 'mames'],Utiliza insultos específicos contra mujeres
"Mira, vieja dramática",Tu perspectiva es válida,explicito,insultos_genero,México,calle,"['mira,' 'vieja' 'dramática']",Utiliza insultos específicos contra mujeres
Eres un chingo muy intensa mira,Entiendo tu punto,explicito,insultos_genero,México,laboral,['eres' 'chingo' 'intensa' 'mira'],Utiliza insultos específicos contra mujeres
Loca todas son iguales chale,¿Podemos hablar?,explicito,insultos_genero,México,calle,['loca' 'todas' 'iguales' 'chale'],Utiliza insultos específicos contra mujeres
"No mames, estás loca, entonces",Entiendo tu punto,explicito,insultos_genero,México,familia,"['mames,' 'estás' 'loca,' 'entonces']",Utiliza insultos específicos contra mujeres
"Pinche vieja siempre quejarse, wey",Conversemos con calma,explicito,insultos_genero,México,familia,"['pinche' 'vieja' 'siempre' 'quejarse,']",Utiliza insultos específicos contra mujeres
Qué dramática eres wey,Tu perspectiva es válida,explicito,insultos_genero,México,pareja,['dramática' 'eres'],Utiliza insultos específicos contra mujeres
"Mira, estás loca",Tu perspectiva es válida,explicito,insultos_genero,México,citas,"['mira,' 'estás' 'loca']",Utiliza insultos específicos contra mujeres
"Neta, feminazi histérica no mames",¿Podemos hablar?,explicito,insultos_genero,México,social,"['neta,' 'feminazi' 'histérica' 'mames']",Utiliza insultos específicos contra mujeres
"Güey, eres muy intensa",¿Podemos hablar?,explicito,insultos_genero,México,familia,"['güey,' 'eres' 'intensa']",Utiliza insultos específicos contra mujeres
"Órale, siempre exagerando todo, mira",Tu perspectiva es válida,explicito,insultos_genero,México,pareja,"['órale,' 'siempre' 'exagerando' 'todo,']",Utiliza insultos específicos contra mujeres
"Compa, feminazi histérica",Veo que estás molesta,explicito,insultos_genero,México,pareja,"['compa,' 'feminazi' 'histérica']",Utiliza insultos específicos contra mujeres
"Neta, eres una histérica",¿Podemos hablar?,explicito,insultos_genero,México,laboral,"['neta,' 'eres' 'histérica']",Utiliza insultos específicos contra mujeres
"No mames, vieja argüendera",¿Podemos hablar?,explicito,insultos_genero,México,laboral,"['mames,' 'vieja' 'argüendera']",Utiliza insultos específicos contra mujeres
"Neta, mujer no opines",Tu perspectiva es válida,explicito,insultos_genero,México,pareja,"['neta,' 'mujer' 'opines']",Utiliza insultos específicos contra mujeres
Eres muy intensa no mames,¿Qué pasó?,explicito,insultos_genero,México,familia,['eres' 'intensa' 'mames'],Utiliza insultos específicos contra mujeres
Eres bien muy intensa neta,Respeto tu opinión,explicito,insultos_genero,México,educativo,['eres' 'bien' 'intensa' 'neta'],Utiliza insultos específicos contra mujeres
Qué dramática eres neta,Veo que estás molesta,explicito,insultos_genero,México,redes_sociales,['dramática' 'eres' 'neta'],Utiliza insultos específicos contra mujeres
"Chale, vieja argüendera",Entiendo tu punto,explicito,insultos_genero,México,redes_sociales,"['chale,' 'vieja' 'argüendera']",Utiliza insultos específicos contra mujeres
"Chale, vieja argüendera, mira",Conversemos con calma,explicito,insultos_genero,México,citas,"['chale,' 'vieja' 'argüendera,' 'mira']",Utiliza insultos específicos contra mujeres
"Mira, qué dramática eres",Respeto tu opinión,explicito,insultos_genero,México,pareja,"['mira,' 'dramática' 'eres']",Utiliza insultos específicos contra mujeres
"Estás loca, ya que",Entiendo tu punto,explicito,insultos_genero,México,familia,"['estás' 'loca,']",Utiliza insultos específicos contra mujeres
Pinche vieja constantemente quejarse,Conversemos con calma,explicito,insultos_genero,México,familia,['pinche' 'vieja' 'constantemente' 'quejarse'],Utiliza insultos específicos contra mujeres
"Chale, mujer no opines",Respeto tu opinión,explicito,insultos_genero,México,familia,"['chale,' 'mujer' 'opines']",Utiliza insultos específicos contra mujeres
"Güey, callate mujer",Tu perspectiva es válida,explicito,insultos_genero,México,familia,"['güey,' 'callate' 'mujer']",Utiliza insultos específicos contra mujeres
Qué dramática eres,Tu perspectiva es válida,explicito,insultos_genero,México,laboral,['dramática' 'eres'],Utiliza insultos específicos contra mujeres
Vieja dramática neta,Entiendo tu punto,explicito,insultos_genero,México,social,['vieja' 'dramática' 'neta'],Utiliza insultos específicos contra mujeres
"Órale, siempre exagerando todo",¿Qué pasó?,explicito,insultos_genero,México,educativo,"['órale,' 'siempre' 'exagerando' 'todo']",Utiliza insultos específicos contra mujeres
Vieja argüendera,¿Qué pasó?,explicito,insultos_genero,México,laboral,['vieja' 'argüendera'],Utiliza insultos específicos contra mujeres
No seas histérica güey,Conversemos con calma,explicito,insultos_genero,México,calle,['seas' 'histérica' 'güey'],Utiliza insultos específicos contra mujeres
Loca todas son iguales wey,Respeto tu opinión,explicito,insultos_genero,México,citas,['loca' 'todas' 'iguales'],Utiliza insultos específicos contra mujeres
Eres bien muy intensa güey,Conversemos con calma,explicito,insultos_genero,México,pareja,['eres' 'bien' 'intensa' 'güey'],Utiliza insultos específicos contra mujeres
"Compa, eres muy intensa",Tu perspectiva es válida,explicito,insultos_genero,México,social,"['compa,' 'eres' 'intensa']",Utiliza insultos específicos contra mujeres
"Neta, loca todas son iguales",Veo que estás molesta,explicito,insultos_genero,México,calle,"['neta,' 'loca' 'todas' 'iguales']",Utiliza insultos específicos contra mujeres
"No mames, loca todas son iguales",Conversemos con calma,explicito,insultos_genero,México,laboral,"['mames,' 'loca' 'todas' 'iguales']",Utiliza insultos específicos contra mujeres
"Típico de mujer exagerar, o sea, wey",Veo que estás molesta,explicito,insultos_genero,México,laboral,"['típico' 'mujer' 'exagerar,' 'sea,']",Utiliza insultos específicos contra mujeres
"No mames, feminazi histérica",Veo que estás molesta,explicito,insultos_genero,México,familia,"['mames,' 'feminazi' 'histérica']",Utiliza insultos específicos contra mujeres
"Wey, no seas histérica",Entiendo tu punto,explicito,insultos_genero,México,pareja,"['wey,' 'seas' 'histérica']",Utiliza insultos específicos contra mujeres
"Wey, qué dramática eres",Conversemos con calma,explicito,insultos_genero,México,social,"['wey,' 'dramática' 'eres']",Utiliza insultos específicos contra mujeres
"Loca todas son iguales, chale",¿Qué pasó?,explicito,insultos_genero,México,citas,"['loca' 'todas' 'iguales,' 'chale']",Utiliza insultos específicos contra mujeres
"Órale, qué dramática eres no mames",¿Podemos hablar?,explicito,insultos_genero,México,familia,"['órale,' 'dramática' 'eres' 'mames']",Utiliza insultos específicos contra mujeres
"Mujer loca contrólate, o sea",Conversemos con calma,explicito,insultos_genero,México,educativo,"['mujer' 'loca' 'contrólate,']",Utiliza insultos específicos contra mujeres
Loca todas son iguales,Respeto tu opinión,explicito,insultos_genero,México,educativo,['loca' 'todas' 'iguales'],Utiliza insultos específicos contra mujeres
Eres muy intensa,¿Podemos hablar?,explicito,insultos_genero,México,calle,['eres' 'intensa'],Utiliza insultos específicos contra mujeres
"Qué dramática eres, ya que no mames",Respeto tu opinión,explicito,insultos_genero,México,calle,"['dramática' 'eres,' 'mames']",Utiliza insultos específicos contra mujeres
"Compa, pinche vieja siempre quejarse güey",¿Qué pasó?,explicito,insultos_genero,México,calle,"['compa,' 'pinche' 'vieja' 'siempre']",Utiliza insultos específicos contra mujeres
Eres un chingo una histérica,Entiendo tu punto,explicito,insultos_genero,México,familia,['eres' 'chingo' 'histérica'],Utiliza insultos específicos contra mujeres
"Neta, típico de mujer exagerar compa",¿Podemos hablar?,explicito,insultos_genero,México,calle,"['neta,' 'típico' 'mujer' 'exagerar']",Utiliza insultos específicos contra mujeres
"Compa, mujer no opines",Tu perspectiva es válida,explicito,insultos_genero,México,calle,"['compa,' 'mujer' 'opines']",Utiliza insultos específicos contra mujeres
"Wey, eres un buen muy intensa, mira",¿Qué pasó?,explicito,insultos_genero,México,redes_sociales,"['wey,' 'eres' 'buen' 'intensa,']",Utiliza insultos específicos contra mujeres
"Qué dramática eres, mira",¿Qué pasó?,explicito,insultos_genero,México,educativo,"['dramática' 'eres,' 'mira']",Utiliza insultos específicos contra mujeres
"Mira, vieja argüendera, mira",¿Qué pasó?,explicito,insultos_genero,México,laboral,"['mira,' 'vieja' 'argüendera,' 'mira']",Utiliza insultos específicos contra mujeres
"Órale, feminazi histérica",Conversemos con calma,explicito,insultos_genero,México,citas,"['órale,' 'feminazi' 'histérica']",Utiliza insultos específicos contra mujeres
Típico de mujer exagerar,Tu perspectiva es válida,explicito,insultos_genero,México,calle,['típico' 'mujer' 'exagerar'],Utiliza insultos específicos contra mujeres
"Callate mujer, chale",Tu perspectiva es válida,explicito,insultos_genero,México,social,"['callate' 'mujer,' 'chale']",Utiliza insultos específicos contra mujeres
"Compa, qué dramática eres, porque",Tu perspectiva es válida,explicito,insultos_genero,México,citas,"['compa,' 'dramática' 'eres,' 'porque']",Utiliza insultos específicos contra mujeres
"Callate mujer, mira",Entiendo tu punto,explicito,insultos_genero,México,educativo,"['callate' 'mujer,' 'mira']",Utiliza insultos específicos contra mujeres
Estás loca mira,Veo que estás molesta,explicito,insultos_genero,México,familia,['estás' 'loca' 'mira'],Utiliza insultos específicos contra mujeres
"Pinche vieja siempre quejarse, órale",Respeto tu opinión,explicito,insultos_genero,México,laboral,"['pinche' 'vieja' 'siempre' 'quejarse,']",Utiliza insultos específicos contra mujeres
"Neta, feminazi alterada no mames",¿Qué pasó?,explicito,insultos_genero,México,calle,"['neta,' 'feminazi' 'alterada' 'mames']",Utiliza insultos específicos contra mujeres
"Loca todas son iguales, mira",Tu perspectiva es válida,explicito,insultos_genero,México,laboral,"['loca' 'todas' 'iguales,' 'mira']",Utiliza insultos específicos contra mujeres
Mujer no opines mira,¿Podemos hablar?,explicito,insultos_genero,México,calle,['mujer' 'opines' 'mira'],Utiliza insultos específicos contra mujeres
"Compa, típico de mujer exagerar",Entiendo tu punto,explicito,insultos_genero,México,calle,"['compa,' 'típico' 'mujer' 'exagerar']",Utiliza insultos específicos contra mujeres
Siempre exagerando todo no mames,Entiendo tu punto,explicito,insultos_genero,México,pareja,['siempre' 'exagerando' 'todo' 'mames'],Utiliza insultos específicos contra mujeres
Mujer loca contrólate,¿Qué pasó?,explicito,insultos_genero,México,redes_sociales,['mujer' 'loca' 'contrólate'],Utiliza insultos específicos contra mujeres
Callate mujer güey,¿Qué pasó?,explicito,insultos_genero,México,calle,['callate' 'mujer' 'güey'],Utiliza insultos específicos contra mujeres
Típico de mujer exagerar wey,Tu perspectiva es válida,explicito,insultos_genero,México,calle,['típico' 'mujer' 'exagerar'],Utiliza insultos específicos contra mujeres
No seas histérica,¿Podemos hablar?,explicito,insultos_genero,México,citas,['seas' 'histérica'],Utiliza insultos específicos contra mujeres
Siempre exagerando todo wey,¿Podemos hablar?,explicito,insultos_genero,México,calle,['siempre' 'exagerando' 'todo'],Utiliza insultos específicos contra mujeres
"Mira, loca todas son iguales",Veo que estás molesta,explicito,insultos_genero,México,laboral,"['mira,' 'loca' 'todas' 'iguales']",Utiliza insultos específicos contra mujeres
"Vieja argüendera neta, porque",¿Podemos hablar?,explicito,insultos_genero,México,citas,"['vieja' 'argüendera' 'neta,' 'porque']",Utiliza insultos específicos contra mujeres
Qué dramática eres órale,Tu perspectiva es válida,explicito,insultos_genero,México,educativo,['dramática' 'eres' 'órale'],Utiliza insultos específicos contra mujeres
"Órale, qué dramática eres compa",Respeto tu opinión,explicito,insultos_genero,México,calle,"['órale,' 'dramática' 'eres' 'compa']",Utiliza insultos específicos contra mujeres
Eres una loca,¿Qué pasó?,explicito,insultos_genero,México,educativo,['eres' 'loca'],Utiliza insultos específicos contra mujeres
"Eres un buen muy intensa, mira",Respeto tu opinión,explicito,insultos_genero,México,pareja,"['eres' 'buen' 'intensa,' 'mira']",Utiliza insultos específicos contra mujeres
"Vieja dramática, güey",¿Podemos hablar?,explicito,insultos_genero,México,calle,"['vieja' 'dramática,' 'güey']",Utiliza insultos específicos contra mujeres
"Wey, estás loca chale",Conversemos con calma,explicito,insultos_genero,México,laboral,"['wey,' 'estás' 'loca' 'chale']",Utiliza insultos específicos contra mujeres
"Pinche vieja siempre quejarse, compa",Veo que estás molesta,explicito,insultos_genero,México,calle,"['pinche' 'vieja' 'siempre' 'quejarse,']",Utiliza insultos específicos contra mujeres
Vieja dramática no mames,¿Podemos hablar?,explicito,insultos_genero,México,educativo,['vieja' 'dramática' 'mames'],Utiliza insultos específicos contra mujeres
Eres bien muy intensa mira,Entiendo tu punto,explicito,insultos_genero,México,social,['eres' 'bien' 'intensa' 'mira'],Utiliza insultos específicos contra mujeres
"Wey, mujer no opines mira",¿Podemos hablar?,explicito,insultos_genero,México,laboral,"['wey,' 'mujer' 'opines' 'mira']",Utiliza insultos específicos contra mujeres
"No seas histérica, güey",Tu perspectiva es válida,explicito,insultos_genero,México,pareja,"['seas' 'histérica,' 'güey']",Utiliza insultos específicos contra mujeres
"Vieja argüendera, compa",¿Qué pasó?,explicito,insultos_genero,México,familia,"['vieja' 'argüendera,' 'compa']",Utiliza insultos específicos contra mujeres
"Mujer no opines, mira",Conversemos con calma,explicito,insultos_genero,México,laboral,"['mujer' 'opines,' 'mira']",Utiliza insultos específicos contra mujeres
Mujer no opines,Conversemos con calma,explicito,insultos_genero,México,citas,['mujer' 'opines'],Utiliza insultos específicos contra mujeres
"Qué dramática eres, compa, ya que",¿Podemos hablar?,explicito,insultos_genero,México,pareja,"['dramática' 'eres,' 'compa,']",Utiliza insultos específicos contra mujeres
"Mira, estás loca chale",Veo que estás molesta,explicito,insultos_genero,México,pareja,"['mira,' 'estás' 'loca' 'chale']",Utiliza insultos específicos contra mujeres
"Mira, típico de mujer exagerar",Tu perspectiva es válida,explicito,insultos_genero,México,social,"['mira,' 'típico' 'mujer' 'exagerar']",Utiliza insultos específicos contra mujeres
"Wey, típico de mujer exagerar, mira",Respeto tu opinión,explicito,insultos_genero,México,citas,"['wey,' 'típico' 'mujer' 'exagerar,']",Utiliza insultos específicos contra mujeres
"Mira, siempre exagerando todo",Tu perspectiva es válida,explicito,insultos_genero,México,familia,"['mira,' 'siempre' 'exagerando' 'todo']",Utiliza insultos específicos contra mujeres
"Neta, vieja loca contrólate",¿Qué pasó?,explicito,insultos_genero,México,laboral,"['neta,' 'vieja' 'loca' 'contrólate']",Utiliza insultos específicos contra mujeres
"Mujer loca contrólate, compa",¿Qué pasó?,explicito,insultos_genero,México,laboral,"['mujer' 'loca' 'contrólate,' 'compa']",Utiliza insultos específicos contra mujeres
"Órale, estás loca",Entiendo tu punto,explicito,insultos_genero,México,citas,"['órale,' 'estás' 'loca']",Utiliza insultos específicos contra mujeres
"Neta, no seas histérica, wey",Respeto tu opinión,explicito,insultos_genero,México,educativo,"['neta,' 'seas' 'histérica,']",Utiliza insultos específicos contra mujeres
"Neta, eres muy intensa",¿Qué pasó?,explicito,insultos_genero,México,pareja,"['neta,' 'eres' 'intensa']",Utiliza insultos específicos contra mujeres
"Chale, vieja argüendera compa",¿Qué pasó?,explicito,insultos_genero,México,pareja,"['chale,' 'vieja' 'argüendera' 'compa']",Utiliza insultos específicos contra mujeres
"Güey, típico de mujer exagerar",Conversemos con calma,explicito,insultos_genero,México,pareja,"['güey,' 'típico' 'mujer' 'exagerar']",Utiliza insultos específicos contra mujeres
"Mira, eres una intensa",Conversemos con calma,explicito,insultos_genero,México,laboral,"['mira,' 'eres' 'intensa']",Utiliza insultos específicos contra mujeres
Callate mujer mira,Veo que estás molesta,explicito,insultos_genero,México,educativo,['callate' 'mujer' 'mira'],Utiliza insultos específicos contra mujeres
"Feminazi histérica güey, así que",Entiendo tu punto,explicito,insultos_genero,México,pareja,"['feminazi' 'histérica' 'güey,']",Utiliza insultos específicos contra mujeres
Feminazi alterada,Respeto tu opinión,explicito,insultos_genero,México,redes_sociales,['feminazi' 'alterada'],Utiliza insultos específicos contra mujeres
Callate tipa,Veo que estás molesta,explicito,insultos_genero,México,pareja,['callate' 'tipa'],Utiliza insultos específicos contra mujeres
Eres super muy intensa,¿Podemos hablar?,explicito,insultos_genero,México,laboral,['eres' 'super' 'intensa'],Utiliza insultos específicos contra mujeres
Feminazi histérica wey,¿Podemos hablar?,explicito,insultos_genero,México,social,['feminazi' 'histérica'],Utiliza insultos específicos contra mujeres
"Eres una dramática güey, porque",¿Podemos hablar?,explicito,insultos_genero,México,social,"['eres' 'dramática' 'güey,' 'porque']",Utiliza insultos específicos contra mujeres
"Mira, feminazi histérica, órale",Tu perspectiva es válida,explicito,insultos_genero,México,redes_sociales,"['mira,' 'feminazi' 'histérica,' 'órale']",Utiliza insultos específicos contra mujeres
"No seas histérica, pues",Tu perspectiva es válida,explicito,insultos_genero,México,citas,"['seas' 'histérica,' 'pues']",Utiliza insultos específicos contra mujeres
"Chale, siempre exagerando todo, así que",Veo que estás molesta,explicito,insultos_genero,México,calle,"['chale,' 'siempre' 'exagerando' 'todo,']",Utiliza insultos específicos contra mujeres
"Güey, siempre exagerando todo, güey",Tu perspectiva es válida,explicito,insultos_genero,México,familia,"['güey,' 'siempre' 'exagerando' 'todo,']",Utiliza insultos específicos contra mujeres
"Güey, pinche vieja siempre quejarse",Respeto tu opinión,explicito,insultos_genero,México,educativo,"['güey,' 'pinche' 'vieja' 'siempre']",Utiliza insultos específicos contra mujeres
"Típico de mujer exagerar, wey",Respeto tu opinión,explicito,insultos_genero,México,citas,"['típico' 'mujer' 'exagerar,']",Utiliza insultos específicos contra mujeres
"Mira, eres muy intensa, mira",Respeto tu opinión,explicito,insultos_genero,México,citas,"['mira,' 'eres' 'intensa,' 'mira']",Utiliza insultos específicos contra mujeres
"Mira, pinche vieja siempre quejarse",¿Qué pasó?,explicito,insultos_genero,México,redes_sociales,"['mira,' 'pinche' 'vieja' 'siempre']",Utiliza insultos específicos contra mujeres
Vieja argüendera güey,¿Podemos hablar?,explicito,insultos_genero,México,citas,['vieja' 'argüendera' 'güey'],Utiliza insultos específicos contra mujeres
"Wey, pinche vieja siempre quejarse mira",¿Qué pasó?,explicito,insultos_genero,México,laboral,"['wey,' 'pinche' 'vieja' 'siempre']",Utiliza insultos específicos contra mujeres
"Siempre exagerando todo, pues",Conversemos con calma,explicito,insultos_genero,México,citas,"['siempre' 'exagerando' 'todo,' 'pues']",Utiliza insultos específicos contra mujeres
"Qué dramática eres, órale",Conversemos con calma,explicito,insultos_genero,México,pareja,"['dramática' 'eres,' 'órale']",Utiliza insultos específicos contra mujeres
"Vieja argüendera, pues",Conversemos con calma,explicito,insultos_genero,México,laboral,"['vieja' 'argüendera,' 'pues']",Utiliza insultos específicos contra mujeres
Eres un buen una histérica chale,Conversemos con calma,explicito,insultos_genero,México,laboral,['eres' 'buen' 'histérica' 'chale'],Utiliza insultos específicos contra mujeres
Estás loca wey,¿Qué pasó?,explicito,insultos_genero,México,social,['estás' 'loca'],Utiliza insultos específicos contra mujeres
"Vieja dramática, pues",Conversemos con calma,explicito,insultos_genero,México,laboral,"['vieja' 'dramática,' 'pues']",Utiliza insultos específicos contra mujeres
"No mames, pinche vieja siempre quejarse, neta",¿Qué pasó?,explicito,insultos_genero,México,educativo,"['mames,' 'pinche' 'vieja' 'siempre']",Utiliza insultos específicos contra mujeres
"No seas histérica, chale",¿Podemos hablar?,explicito,insultos_genero,México,social,"['seas' 'histérica,' 'chale']",Utiliza insultos específicos contra mujeres
"Compa, pinche vieja siempre quejarse, chale",Conversemos con calma,explicito,insultos_genero,México,citas,"['compa,' 'pinche' 'vieja' 'siempre']",Utiliza insultos específicos contra mujeres
"Eres una histérica, mira",Entiendo tu punto,explicito,insultos_genero,México,redes_sociales,"['eres' 'histérica,' 'mira']",Utiliza insultos específicos contra mujeres
"Órale, no seas histérica",Conversemos con calma,explicito,insultos_genero,México,social,"['órale,' 'seas' 'histérica']",Utiliza insultos específicos contra mujeres
Loca todas son iguales güey,Conversemos con calma,explicito,insultos_genero,México,educativo,['loca' 'todas' 'iguales' 'güey'],Utiliza insultos específicos contra mujeres
"Estás loca, mira",Respeto tu opinión,explicito,insultos_genero,México,social,"['estás' 'loca,' 'mira']",Utiliza insultos específicos contra mujeres
"Vieja argüendera, mira",Respeto tu opinión,explicito,insultos_genero,México,redes_sociales,"['vieja' 'argüendera,' 'mira']",Utiliza insultos específicos contra mujeres
