"Texto","Sarcasmo"
"Oriol Junqueras, sorprendido y confuso al ver que su nuevo compañero de celda es una farola","1"
"Los «runners» llegan finalmente a Runneria, donde fundan su propia comunidad","1"
"«Soy Pablo Iglesias», dice Ione Belarra en su primer discurso como secretaria general de Unidas Podemos","1"
"Conviértete en la reina del funeral con estos sencillos trucos","1"
"La Seguridad Social cambia de criterio: no se podrá cobrar la pensión de incapacidad permanente absoluta y trabajar","0"
"El yoga, segunda causa de muerte desde el inicio del confinamiento","1"
"Rajoy lamenta que por culpa de su gestión lo puedan despedir sin indemnización","1"
"Una maratón de 40 metros y 19 centímetros para fomentar la educación de menores en todo el mundo","0"
"Ferrero, obligado a aclarar que la Nutella «no es, y nunca ha sido, una bebida»","1"
"Esta es la forma correcta de comerse una mandarina en 16 cómodos pasos","1"
"Qué sorpresa, todos se olvidaron de lo que acordamos la última vez.","1"
"Los cinco ladrones más sexis que las cámaras de seguridad de tu casa han grabado este año","1"
"Celsa acusa a los fondos de buscar la “expropiación forzosa” de la siderúrgica","0"
"Perdona. ¿Quién quiere sirope y quién quiere azúcar y canela?","0"
"Un juez imprudente o algo mucho peor","0"
"Granollers, la última estación de un laboratorio viajero de metanfetamina","0"
"El primer ministro de Eslovaquia, Robert Fico, sale del hospital tras el tiroteo que sufrió el 15 de mayo","0"
"UMQ: Nuevo modelo de Yamaha","0"
"Población rural contra los incendios forestales","0"
"Cómo se hace una réplica exacta de los auténticos sándwiches de pastrami","0"
"La asociación de bebés pide enchufes con agujeros un poco más anchos","1"
"Rodar un documental sobre Carlos Boyero, único recurso que han encontrado los directores para recibir buenas críticas de Carlos Boyero","1"
"Nuevo revolcón del Supremo a Marlaska: anula los nombramientos de tres generales","0"
"Leo Messi anuncia que jugará en el Betis la próxima temporada","1"
"La feria Aotec reúne lo último en telecomunicaciones para el mundo rural","0"
"Facebook sólo mostrará los contenidos a los que Mark Zuckerberg haya dado al «Me Gusta»","1"
"Muere el escritor checo Milan Kundera a los 94 años","0"
"Sal para Johann Sebastian Bach","0"
"Muere un señor pese a que una vecina habló con él ayer","1"
"¿Recuerdas hace un tiempo cuando me dijiste que si quería, podría dejar la tierra y vagar por la galaxia para encontrarme a mí misma, y que nadie lo sabría porque me podrías reemplazar con un clon? ¿Soy el clon?","0"
"Un arqueólogo muy viejo entiende que debe jubilarse tras encontrar su diploma universitario en un yacimiento","1"
"«Morrocotudo: El primer circo que cambia a los animales por becarios»","1"
"La ministra austriaca que ha salvado la ley de biodiversidad pese a la oposición de su gobierno: “Había que dar un paso al frente”","0"
"David García Núñez: «Casi la mitad del colectivo reconoce haberse sentido excluido en el entorno laboral»","0"
"La NASA enviará hipsters a Marte en busca de WiFi","1"
"Kant y Marx","0"
"Forjar unos valores","0"
"La chica de la curva anuncia que sentó la cabeza y presenta al marido de la curva y a los dos bebés gemelos de la curva","1"
"Un millón y medio de hipsters votará al PP desde la ironía, según Demoscopia","1"
"Los españoles descubren, con el corazón roto, que Pedro Sánchez lleva una doble vida y sí formó gobierno en otro país","1"
"El empresario de la trama del ‘caso Koldo’ contrató con la Guardia Civil y el Ejército por valor de cuatro millones","0"
"Jornada política del 31 de mayo de 2024 | Feijóo, sobre la ley de amnistía: “El Congreso no puede aprobar leyes en contra de la Constitución”","0"
"Como cada año, la presencia de la pija de la terraza anuncia en Barcelona la llegada del buen tiempo","1"
"El Gobierno anuncia el fin de la crisis y recomienda volver a vivir por encima de las posibilidades","1"
"Un anciano se opera la boina para parecer más joven","1"
"Así le hemos contado el empate entre Croacia y Albania","0"
"Muere Nelson Mandela, el hombre que liberó a la Sudáfrica negra","0"
"El Constitucional se prepara para refutar el delito de prevaricación en la sentencia de los ERE","0"
"Stalin frenó dos planes para asesinar a Hitler en su búnker","0"
"Diles lo del sueño","0"
"El PP carga contra la última propuesta de Sánchez para Cataluña y Aznar llama a la movilización","0"
"Carta abierta a los líderes de Europa por la aprobación de la ley de inteligencia artificial","0"
"Instalador de aire acondicionado es tratado como un semidiós","1"
"Así es la futura terapia contra tumores incurables que ya ensayan hospitales españoles","0"
"El IV Concurso de Fotografía Cutánea premia la labor de los médicos residentes en dermatología","0"
"Así es el modelo de Valentino de 5.900 euros que Ana Morgade tiró a la basura para ponerse el portatrajes","1"
"Renfe obligará a que todos los bebés viajen en el vagón del silencio","1"
"La Airef advierte que el incremento del gasto público no debe superar el 2,7% para cumplir con Bruselas","0"
"El malagueño que enseña a la Inteligencia Artificial a hablar el idioma de la antigua Esparta en peligro de extinción","0"
"Aniol Esteban, biólogo marino: “Los hoteleros deben invertir en la conservación del mar”","0"
"Una cadena de errores lleva a grabar la frase “FELICES 65 CRACK!!!” en una lápida","1"
"«Que Jesús sea rey significa que es el amor con mayúsculas»","0"
"HBO compra a Lleida 200 toneladas de niebla para el rodaje de ‘Juego de Tronos’","1"
"'Ecoatentado' con puré de verduras contra una obra de Van Gogh","0"
"Un agricultor vuelve a quemar en una hoguera las malas hierbas delante de todas las demás para que aprendan","1"
"El Papa admite que la mayoría de los santos no se conocen entre sí","1"
"Necesitamos encontrar un refugio antes del ocaso, Morty. Benzenulone nueve tiene temperaturas de 300 grados bajo cero. Nos congelaremos, Morty. Moriremos en segundos.","0"
"Más indios brillantes (I)","0"
"El amor nos enseña a ser mejores personas y a dar sin esperar nada a cambio.","0"
"Christopher, el discreto actor revelación de ‘Una vida maravillosa’: “Llevo 10 años soñando con esto”","0"
"Pablo Iglesias asume el mal resultado electoral y pone su coleta a disposición del partido","1"
"Esta noche, la libertad","0"
"Fundado optimismo","0"
"Los pedagogos alertan que retrasar el acceso al móvil de los niños los expone al peligro de ser criados por sus padres","1"
"Una plataforma de idiomas saca un curso para entender las notificaciones de Hacienda","1"
"Durex presenta los Condonettes sabor chocolate y con agujero en medio","1"
"Fascinado ahora por el Valle de los Caídos, James Rhodes escribe una apología de Francisco Franco","1"
"Un trozo de Wuhan en Acacias","0"
"Los virus informáticos más peligrosos de la historia","0"
"El verano también es suyo","0"
"Los famosos pueden inspirar a otros a perseguir sus propios sueños y aspiraciones.","0"
"Francis Kéré, la arquitectura y los niños","0"
" ¿Has visto el color de su orina? Ya está todo dicho","0"
"Una persona claramente idiota todavía no tiene una opinión formada sobre el conflicto bélico que ha estallado hace ya varias horas","1"
"Los datos de miles de GPS detectan una fase previa que anuncia los grandes terremotos","0"
"La cantera del patinaje malagueño se consolida en la élite mundial","0"
"Zoom añade un filtro a las videollamadas para disimular que estás borracho","1"
"Científicos americanos logran captar la Onda Cero en la frecuencia 954 de la AM","1"
"Kroos en la intimidad es tan fino como con el balón. Tenía un plan, no como Schuster","0"
"Lucha libre en el agua","0"
"La banalidad de la memoria","0"
"Migas de Torrox gratis en el Carpena en la previa del Unicaja-Gran Canaria","0"
"La deforestación de la Sabana brasileña ha aumentado un 25% en solo un año","0"
"El hospital Vall d’Hebron cierra 272 camas en verano y reduce al mínimo la actividad quirúrgica","0"
"Triatlón","0"
"James Rhodes regresa a Reino Unido a toda prisa tras las primeras horas de calor en Madrid","1"
"Madrid ultima la ‘ley Mbappé' que no es para Mbappé","0"
"El camaleón y el chow-chow","0"
"Prisión permanente revisable para un hombre que violó y asesinó a su exmujer en Toledo","0"
"Hyundai presenta a uno de sus ingenieros en prácticas como un nuevo modelo de coche","1"
"Alfonso Reyes: “Quise ser antes ingeniero que jugador de baloncesto”","0"
"Esto es todo lo que necesitas saber sobre las hipotecas a tipo fijo","1"
"La Fiscalía presenta una denuncia constitucional contra la presidenta de Perú por el 'caso Rolex'","0"
"Una fiesta desapacible","0"
"Van Gaal lanza la campaña 'Siempre + Positivo' para recaudar fondos contra el cáncer","0"
"Atunes contaminados de mercurio: por qué perdura la toxicidad de esta especie","0"
"La conspiranoia contra Kate Middleton","0"
"Instrucción militar y formación superior: así es el Centro Universitario de la Guardia Civil","0"
"Albert Rivera, decepcionado al saber que el club Bilderberg no es un «after»","1"
"El Mundo Today desarrolla un test para que los indecisos sepan a qué partido votar","1"
"Oh, dejen de imprimir esa.","1"
"Una pareja pospone una hora y media el coito para leer detenidamente las instrucciones de los preservativos","1"
" Dámelo.","0"
"La rueda de Aristóteles","0"
"La asamblea de cuñados concluye que tu coche es “una cafetera, macho”","1"
"15 memes de Internet que te harán decir “Exacto, así soy yo”","1"
"¿Cómo se usa el nuevo billete de 50 euros?","1"
"Uno de los principales implicados en la trama de Portugal declara que comió con el primer ministro Costa en abril","0"
"Luka Doncic contra la historia de los Celtics","0"
"El UCAM Murcia hace historia y jugará la final de la ACB","0"
"ChatGPT nos está haciendo estúpidos","0"
"La UE actualiza su lista de paraísos fiscales: entran Antigua y Barbuda, Belice y Seychelles","0"
"Gregorio Ordóñez es memoria","0"
"TomTom introduce el nuevo GPS «Franz Kafka Go»","1"
"¿Se está pasando Yolanda Díaz?","1"
"Asume que ha engordado porque su nutricionista le ha preguntado «¿Quién es usted?»","1"
"Gestionar los residuos","0"
"Ah, claro, porque los descuentos realmente ahorran dinero... o eso dicen.","1"
"Le dicen que el suelo es lava y se queda en silencio, mirándolo, imaginando que se hunde y que todo termina al fin","1"
"Un tiroteo deja ocho heridos en Miami el día de Martin Luther King","0"
"El dueño de Facebook compra WhatsApp pero sigue sintiéndose vacío por dentro","1"
" Así que cuando puedas, me gustaría que... no lo sé.","0"
"El Vaticano encarga la construcción urgente de otro Más Allá “para que quepamos todos”","1"
"El reguetonero Don Omar actualiza su estado de salud y afirma que ha sido operado de cáncer con “éxito”","0"
"El Kant nuestro de cada día","0"
"Ah, claro, otra vez soy el único que lleva coche.","1"
"Poéticas del confinamiento","0"
"Los habitantes de la Tierra, hartos de que los astronautas de la Estación Espacial Internacional hagan ruido con los tacones","1"
"Llevaba diez años viviendo con muebles de Ikea sin montar porque pensaba que «eran así»","1"
"La Fórmula 1 toma el centro de Barcelona","0"
"La Policía detiene al líder de las protestas en Nueva Caledonia y a otros siete sospechosos","0"
"El peinado de Vicente del Bosque, el más solicitado en las peluquerías españolas","1"
"Descubriendo Texas, Nuevo México y Arizona desde la Ruta 66","0"
"Los senadores y diputados de Brasil tienen un miedo que hace sonreír","0"
"Las listas de espera para operarse suben un 19,2% en 2023 con 205.005 andaluces aguardando una cita","0"
"La promoción de la salud, ¿cosa de todos o sólo de la medicina?","0"
"El Corte Inglés anuncia que, si no quedas satisfecho, que te jodan","1"
"Aperturas al alza en Singapur, Kuala Lumpur y Ciudad de Ho Chi Minh","0"
"El Unicaja llegó tarde","0"
"Un centenar de pintores chinos y españoles, encabezados por Antonio López, exploran la evolución del realismo en los dos países","0"
" Lo podemos resolver solos.","0"
"Rivera mira de reojo el escaño vacío de Rajoy, que le prometió que estaría en el Congreso para oírle hablar","1"
"Tus mejores platos al aire libre con estos complementos de Ikea","0"
"Íñigo Errejón pide formalmente a Manuela Carmena que deje de darle caramelos cada vez que le ve","1"
"Olá Beirut, cocina mediterránea oriental","0"
"La madre de Yaiza, culpable de planificar de forma “metódica” matar a su hija para causar dolor a su expareja","0"
"La 'autenticidad' de Nietzsche","0"
"El gran foro global de la odontología","0"
"El mejor tapeo, a pie de playa en Rincón de la Victoria","0"
